"IDs","Arabinose","Galactose","Glucose","Xylose","Mannose","insoluble.lignin","soluble.lignin","holocellulose","alpha.cellulose","hemicellulose","Syringyl.lignin.monomers....","Fiber.length.Lw..length.weighted.","MFA..first.growth.ring.from.bark.","MFA..first.growth.ring.from.pith.","X.crystallinity..w_c.","average.wood.density","total.lignin"
"QBKR-16-5",0.588034403,0.855816362,50.98957159,20.16668503,3.76322539,18.90012642,3.50048845,70.03942181,38.94818483,31.09123699,74.45,0.866,19.16,20.96,48.31,436.34,22.40061487
"QCTN-16-1",0.548650848,0.665689966,44.14913134,19.06387754,3.067502118,18.56010568,2.822865378,68.17558299,38.00738321,30.16819978,71.1,0.707,17.49,17.96,46.3,449.46,21.38297106
"QCTN-16-3",0.567656076,0.913514235,52.13908155,15.93311922,2.271542988,15.53784861,2.830224556,69.68232044,42.93910177,26.74321867,74.6,0.788,18.08,17.96,52.36,396.79,18.36807316
"QCTN-16-4",0.51094584,0.617169776,47.43691359,18.44114534,3.414408969,19.94801819,2.512759171,67.2392638,39.16774559,28.07151821,71.47,0.891,17.37,18.44,48.78,355.57,22.46077736
"QFRS-16-1",0.519712482,0.580921965,48.76543256,17.13289298,2.826229416,17.82304265,3.073809386,69.44074567,42.13361232,27.30713335,73.46,0.891,20.6,19.52,52.08,445.61,20.89685203
"QFRS-16-2",0.570833064,0.235165406,46.91470274,18.0076671,3.409060877,16.27009646,2.743057586,73.5698769,44.30552272,29.26435418,73.86,0.875,19.4,19.4,44.64,374.72,19.01315405
"QFRS-16-4",0.5529369,0.229893183,47.98769381,17.33173272,2.856738338,17.7503251,2.634708594,69.61946351,38.7080718,30.9113917,70.31,0.95,17.37,18.56,44.25,358.47,20.38503369
"QLKE-16-1",0.615389996,0.38829945,45.6828438,17.45176181,2.6845862,18.97570584,2.410105653,68.74536006,41.31779528,27.42756478,68.41,0.794,16.53,17.25,42.37,423.18,21.3858115
"QLKE-16-2",0.540697808,0.499167134,50.69636196,16.40046747,3.050426836,18.82736156,2.911607936,68.89495225,41.91860436,26.9763479,76.65,0.584,18.68,17.73,54.35,404.27,21.7389695
"QLKE-16-3",0.60718131,0.321084469,49.57611709,18.02411079,3.164038944,23.13829787,2.585831721,66.20462046,38.39008402,27.81453644,64.47,0.831,15.93,19.04,45.05,367.61,25.72412959
